"","Tm","Year","Rank_rb","good_rb_def","Rank_wr","good_wr_def","Rank_te","good_te_def","Rank_qb","good_qb_def","tot_rank","good_def"
"71","Tampa Bay Buccaneers",2010,12,"No",24,"Yes",24,"Yes",25,"Yes",85,"Yes"
"72","Buffalo Bills",2009,5,"No",28,"Yes",21,"Yes",31,"Yes",85,"Yes"
"73","Denver Broncos",2017,28,"Yes",30,"Yes",3,"No",23,"Yes",84,"Yes"
"74","Green Bay Packers",2015,21,"Yes",23,"Yes",15,"No",25,"Yes",84,"Yes"
"75","New Orleans Saints",2010,14,"No",32,"Yes",8,"No",30,"Yes",84,"Yes"
"76","Green Bay Packers",2009,32,"Yes",20,"Yes",12,"No",19,"Yes",83,"Yes"
"77","Philadelphia Eagles",2017,31,"Yes",12,"No",18,"Yes",22,"Yes",83,"Yes"
"78","New England Patriots",2009,26,"Yes",15,"No",25,"Yes",17,"No",83,"Yes"
"79","St. Louis Rams",2014,24,"Yes",7,"No",30,"Yes",22,"Yes",83,"Yes"
"80","Los Angeles Chargers",2018,9,"No",28,"Yes",19,"Yes",27,"Yes",83,"Yes"
"81","Minnesota Vikings",2015,25,"Yes",19,"Yes",19,"Yes",19,"Yes",82,"Yes"
"82","Philadelphia Eagles",2016,22,"Yes",4,"No",31,"Yes",25,"Yes",82,"Yes"
"83","St. Louis Rams",2010,21,"Yes",12,"No",29,"Yes",20,"Yes",82,"Yes"
"84","Buffalo Bills",2013,19,"Yes",8,"No",30,"Yes",25,"Yes",82,"Yes"
"85","Seattle Seahawks",2011,17,"No",25,"Yes",13,"No",27,"Yes",82,"Yes"
"86","Baltimore Ravens",2017,15,"No",28,"Yes",8,"No",31,"Yes",82,"Yes"
"87","Cleveland Browns",2014,12,"No",17,"No",27,"Yes",26,"Yes",82,"Yes"
"88","Oakland Raiders",2009,6,"No",26,"Yes",30,"Yes",20,"Yes",82,"Yes"
"89","Arizona Cardinals",2018,1,"No",22,"Yes",31,"Yes",28,"Yes",82,"Yes"
"90","Jacksonville Jaguars",2011,25,"Yes",27,"Yes",3,"No",26,"Yes",81,"Yes"
"91","Baltimore Ravens",2016,24,"Yes",11,"No",24,"Yes",22,"Yes",81,"Yes"
"92","Miami Dolphins",2012,23,"Yes",20,"Yes",23,"Yes",15,"No",81,"Yes"
"93","Washington Redskins",2009,20,"Yes",14,"No",23,"Yes",24,"Yes",81,"Yes"
"94","San Diego Chargers",2014,20,"Yes",20,"Yes",26,"Yes",15,"No",81,"Yes"
"95","Pittsburgh Steelers",2013,17,"No",22,"Yes",19,"Yes",23,"Yes",81,"Yes"
"96","Green Bay Packers",2012,16,"No",15,"No",30,"Yes",20,"Yes",81,"Yes"
"97","Buffalo Bills",2016,7,"No",25,"Yes",26,"Yes",23,"Yes",81,"Yes"
"98","Atlanta Falcons",2017,26,"Yes",21,"Yes",19,"Yes",14,"No",80,"Yes"
"99","Houston Texans",2014,22,"Yes",2,"No",31,"Yes",25,"Yes",80,"Yes"
"100","New England Patriots",2015,22,"Yes",12,"No",28,"Yes",18,"Yes",80,"Yes"
