"","Player","GamesPlayed","Goals","Assists","Points","PointShare","Shots","ShootPerc","FirstYear","LastYear"
"1189","Greg McKegg",292,30,44,75,5.4,322,9.9,2014,2019
"1190","Greg Moore",147,30,39,69,7.1,265,11.05,2008,2010
"1191","Greg Nemisz",153,32,50,83,7.7,379,8.5,2011,2012
"1192","Greg Pankewicz",82,45,39,81,11.7,272,17.9,1999,1999
"1193","Greg Pateryn",349,14,58,71,16.1,438,2.78333333333333,2013,2019
"1194","Greg Rallo",94,11,10,21,0.8,92,11.7,2012,2013
"1195","Greg Stewart",186,23,28,52,4.3,209,8.93333333333333,2008,2010
"1196","Greg Zanon",566,21,66,86,23.7,465,3.9125,2006,2013
"1197","Gregory Campbell",833,77,122,199,9.5,967,8.14166666666667,2004,2016
"1198","Griffen Molino",73,16,13,29,3.4,97,15,2017,2017
"1199","Griffin Reinhart",50,0,3,3,0,45,0,2015,2016
"1200","Guillaume Brisebois",78,10,25,35,5.7,107,9.2,2019,2019
"1201","Guillaume Desbiens",211,14,43,57,11.2,252,3.83333333333333,2010,2012
"1202","Guillaume Latendresse",454,109,81,190,20.5,755,14.3428571428571,2007,2013
"1203","Guillaume Lefebvre",234,58,72,132,15,445,11.725,2002,2010
"1204","Gustav Forsling",122,8,19,27,4.3,187,4.4,2017,2019
"1205","Gustav Nyquist",504,132,170,302,33.4,1178,10.3125,2012,2019
"1206","Gustav Olofsson",181,9,38,47,8.3,186,3.5,2016,2018
"1207","Guy Carbonneau",143,14,18,32,2.1,130,10.5,1999,2000
"1208","Hal Gill",1195,44,188,234,57,1334,3.20625,1999,2014
"1209","Hampus Lindholm",447,48,123,171,39.9,722,6.58333333333333,2014,2019
"1210","Hannes Hyvonen",108,10,38,48,6.5,150,7.15,2002,2003
"1211","Hans Jonsson",242,10,38,48,7.4,170,5.775,2000,2003
"1212","Harold Druken",217,49,73,121,14.3,350,12.24,2000,2004
"1213","Harri Pesonen",35,3,4,7,0.1,41,7.2,2013,2013
"1214","Harry York",110,11,22,33,1.9,110,9.85,1999,2000
"1215","Harry Zolnierczyk",306,74,121,194,20.5,719,8.93333333333333,2012,2017
"1216","Haydn Fleury",121,11,18,30,5.1,194,5.05,2018,2019
"1217","Henri Jokiharju",38,0,12,12,0.8,62,0,2019,2019
"1218","Henrik Borgstr<f6>m",100,16,17,33,2.6,99,17.7,2018,2019
"1219","Henrik Haapala",72,12,17,28,2.4,117,10.4,2018,2018
"1220","Henrik Samuelsson",59,9,15,24,2.5,70,14.4,2015,2015
"1221","Henrik Sedin",1406,253,842,1095,111.4,1955,12.7777777777778,2001,2018
"1222","Henrik Tallinder",768,34,121,155,37.8,652,5.37692307692308,2002,2014
"1223","Henrik Zetterberg",1150,347,638,985,111.9,3554,9.8625,2003,2018
"1224","Herbert Vasiljevs",200,26,36,63,3.9,278,8.65,1999,2002
"1225","Hnat Domenichelli",292,56,71,128,10.3,635,9.16,1999,2003
"1226","Hudson Fasching",122,17,14,31,1.2,167,9.96666666666667,2016,2018
"1227","Hugh Jessiman",75,16,10,26,2.3,163,10.1,2011,2011
"1228","Hunter Shinkaruk",151,49,63,107,13,356,13.3,2016,2017
"1229","Ian Cole",511,26,102,128,29,586,4.53333333333333,2011,2019
"1230","Ian Herbers",43,0,3,3,0.4,14,0,2000,2000
"1231","Ian Laperriere",873,97,167,263,15.9,928,10.425,1999,2010
"1232","Ian MacNeil",79,25,33,57,6.7,148,17.9,2003,2003
"1233","Ian McCoshen",146,9,18,28,3.7,179,5.6,2017,2019
"1234","Ian Moran",466,20,50,70,10.2,511,4.725,1999,2007
"1235","Ian White",540,46,140,186,36.5,991,4.775,2006,2013
"1236","Igor Korolev",411,59,114,173,12.5,426,12.9333333333333,1999,2004
"1237","Igor Kravchuk",323,16,74,90,18.8,535,2.76,1999,2003
"1238","Igor Larionov*",412,54,193,247,20.9,323,15.9166666666667,1999,2004
"1239","Igor Ozhiganov",53,3,4,7,1.2,43,7,2019,2019
"1240","Igor Radulov",100,23,27,50,6.6,190,11,2003,2004
"1241","Igor Ulanov",455,17,72,89,20.9,338,4.9125,1999,2006
"1242","Iiro Pakarinen",232,36,37,74,7.1,379,8.675,2015,2018
"1243","Ilkka Heikkinen",62,4,4,8,1,58,6.6,2010,2010
"1244","Ilkka Pikkarainen",31,1,3,4,0,26,3.8,2010,2010
"1245","Ilya Kovalchuk",962,478,447,926,111.3,3459,13.6384615384615,2002,2019
"1246","Ilya Lyubushkin",41,0,4,4,0.6,27,0,2019,2019
"1247","Ilya Zubov",143,25,66,92,7.7,307,7.1,2008,2009
"1248","Isac Lundestrom",47,7,3,10,0.4,56,10.6,2019,2019
"1249","Ivan Baranka",82,2,23,26,5.4,107,2,2008,2008
"1250","Ivan Barbashev",163,26,25,51,5,125,21.3,2017,2019
"1251","Ivan Ciernik",215,45,63,107,11.5,386,10.35,2001,2004
"1252","Ivan Huml",197,114,89,188,25.1,705,14.1,2002,2004
"1253","Ivan Majesky",224,8,23,31,5.3,132,4.8,2003,2006
"1254","Ivan Novoseltsev",284,52,61,114,10.6,490,9.72,2000,2004
"1255","Ivan Provorov",246,30,67,97,18,509,5.63333333333333,2017,2019
"1256","Ivan Vishnevskiy",160,22,79,99,18.2,317,6,2009,2010
"1257","Jaccob Slavin",309,23,92,115,25.3,483,4.55,2016,2019
"1258","Jack Eichel",286,101,158,259,27.6,1036,9.775,2016,2019
"1259","Jack Hillen",402,16,80,96,17.1,431,3.7,2008,2015
"1260","Jack Johnson",945,72,236,308,53.3,1436,5.24615384615385,2007,2019
"1261","Jack Rodewald",148,18,16,35,3,212,8.4,2018,2019
"1262","Jack Roslovic",164,16,35,51,3.9,177,9.56666666666667,2017,2019
"1263","Jack Skille",582,72,68,141,11.2,867,7.96,2008,2017
"1264","Jacob de La Rose",252,39,59,97,8.1,345,8.1,2015,2019
"1265","Jacob Josefson",315,20,44,64,3.2,335,5.925,2011,2018
"1266","Jacob Larsson",85,2,8,10,3.1,85,3.9,2017,2019
"1267","Jacob MacDonald",47,2,9,11,2.7,38,4.8,2019,2019
"1268","Jacob Middleton",59,12,19,31,6.5,169,7,2019,2019
"1269","Jacob Nilsson",61,5,17,22,1.9,74,7.2,2019,2019
"1270","Jacob Trouba",408,42,137,179,32.4,847,5.05,2014,2019
"1271","Jaden Schwartz",488,130,192,322,38.1,1073,12.45,2012,2019
"1272","Jaime Sifers",76,1,6,7,1.9,69,0,2009,2010
"1273","Jake Bean",82,3,13,16,3.2,83,3.3,2019,2019
"1274","Jake Chelios",70,6,11,17,3.6,90,6.9,2019,2019
"1275","Jake Debrusk",138,43,42,85,10.1,299,14.25,2018,2019
"1276","Jake Dotchin",162,10,57,67,11.9,280,3.4,2017,2019
"1277","Jake Dowell",411,64,118,185,16.7,723,8.81428571428571,2008,2014
"1278","Jake Gardiner",566,45,200,245,40,787,5.0875,2012,2019
"1279","Jake Guentzel",204,78,79,157,18.2,479,16.7666666666667,2017,2019
"1280","Jake McCabe",419,32,74,107,21.8,510,6.16666666666667,2014,2019
